price_month,sqm
"£5,633 pcm",(122 sq. m.)
"£4,333 pcm",(68 sq. m.)
"£1,500 pcm",(63 sq. m.)
"£2,058 pcm",(37 sq. m.)
"£2,250 pcm",(70 sq. m.)
"£2,400 pcm",(76 sq. m.)
"£1,550 pcm",(55 sq. m.)
"£4,767 pcm",(95 sq. m.)
"£2,058 pcm",(37 sq. m.)
"£2,167 pcm",(49 sq. m.)
"£3,260 pcm",(54 sq. m.)
"£2,600 pcm",(51 sq. m.)
"£2,600 pcm",(120 sq. m.)
"£1,550 pcm",(37 sq. m.)
"£3,540 pcm",(51 sq. m.)
"£1,703 pcm",(3 sq. m.)
"£1,625 pcm",(51 sq. m.)
"£1,998 pcm",(65 sq. m.)
"£5,100 pcm",(94 sq. m.)
"£3,683 pcm",(64 sq. m.)
"£6,002 pcm",(142 sq. m.)
"£2,700 pcm",(58 sq. m.)
"£2,145 pcm",(42 sq. m.)
"£1,950 pcm",(49 sq. m.)
"£2,709 pcm",(49 sq. m.)
"£3,996 pcm",(124 sq. m.)
"£2,500 pcm",(74 sq. m.)
"£1,350 pcm",(33 sq. m.)
"£1,950 pcm",(26 sq. m.)
"£1,900 pcm",(45 sq. m.)
"£2,800 pcm",(49 sq. m.)
"£2,350 pcm",(84 sq. m.)
"£4,853 pcm",(74 sq. m.)
"£3,135 pcm",(83 sq. m.)
